bank_name,city,audience_type,interest_rate,loan_amount,tenure_years,emi_amount,total_interest,total_payment
SBI,Delhi,Self-Employed - SME,9.09,5000000,25,42268.0,7680520.0,12680520.0
SBI,Delhi,Self-Employed - SME,9.09,7500000,15,76472.0,6264971.0,13764971.0
SBI,Delhi,Self-Employed - SME,9.09,7500000,20,67914.0,8799402.0,16299402.0
SBI,Delhi,Self-Employed - SME,9.09,7500000,25,63403.0,11520780.0,19020780.0
SBI,Delhi,Self-Employed - Startup,9.24,3000000,15,30858.0,2554403.0,5554403.0
SBI,Delhi,Self-Employed - Startup,9.24,3000000,20,27457.0,3589575.0,6589575.0
SBI,Delhi,Self-Employed - Startup,9.24,3000000,25,25671.0,4701227.0,7701227.0
SBI,Delhi,Self-Employed - Startup,9.24,5000000,15,51430.0,4257339.0,9257339.0
SBI,Delhi,Self-Employed - Startup,9.24,5000000,20,45761.0,5982626.0,10982626.0
SBI,Delhi,Self-Employed - Startup,9.24,5000000,25,42785.0,7835379.0,12835379.0
SBI,Delhi,Self-Employed - Startup,9.24,7500000,15,77144.0,6386008.0,13886008.0
SBI,Delhi,Self-Employed - Startup,9.24,7500000,20,68641.0,8973939.0,16473939.0
SBI,Delhi,Self-Employed - Startup,9.24,7500000,25,64177.0,11753068.0,19253068.0
SBI,Delhi,Women Applicants,9.04,3000000,15,30499.0,2489896.0,5489896.0
SBI,Delhi,Women Applicants,9.04,3000000,20,27069.0,3496561.0,6496561.0
SBI,Delhi,Women Applicants,9.04,3000000,25,25258.0,4577435.0,7577435.0
SBI,Delhi,Women Applicants,9.04,5000000,15,50832.0,4149827.0,9149827.0
SBI,Delhi,Women Applicants,9.04,5000000,20,45115.0,5827601.0,10827601.0
SBI,Delhi,Women Applicants,9.04,5000000,25,42097.0,7629058.0,12629058.0
SBI,Delhi,Women Applicants,9.04,7500000,15,76249.0,6224741.0,13724741.0
SBI,Delhi,Women Applicants,9.04,7500000,20,67673.0,8741402.0,16241402.0
SBI,Delhi,Women Applicants,9.04,7500000,25,63145.0,11443587.0,18943587.0
SBI,Delhi,Senior Citizens,9.19,3000000,15,30768.0,2538242.0,5538242.0
SBI,Delhi,Senior Citizens,9.19,3000000,20,27359.0,3566268.0,6566268.0
SBI,Delhi,Senior Citizens,9.19,3000000,25,25567.0,4670209.0,7670209.0
SBI,Delhi,Senior Citizens,9.19,5000000,15,51280.0,4230403.0,9230403.0
SBI,Delhi,Senior Citizens,9.19,5000000,20,45599.0,5943780.0,10943780.0
SBI,Delhi,Senior Citizens,9.19,5000000,25,42612.0,7783681.0,12783681.0
SBI,Delhi,Senior Citizens,9.19,7500000,15,76920.0,6345605.0,13845605.0
SBI,Delhi,Senior Citizens,9.19,7500000,20,68399.0,8915670.0,16415670.0
SBI,Delhi,Senior Citizens,9.19,7500000,25,63918.0,11675522.0,19175522.0
SBI,Delhi,NRIs,9.29,3000000,15,30948.0,2570588.0,5570588.0
SBI,Delhi,NRIs,9.29,3000000,20,27554.0,3612918.0,6612918.0
SBI,Delhi,NRIs,9.29,3000000,25,25774.0,4732292.0,7732292.0
